gene1_name,gene2_name,gene1_spots_detected,gene2_spots_detected,present_present
ORF1ab,S,455,128,37
ORF1ab,ORF3a,455,62,16
ORF1ab,E,455,112,36
ORF1ab,M,455,172,45
ORF1ab,ORF7a,455,107,42
ORF1ab,ORF7b,455,28,9
ORF1ab,ORF8,455,273,86
ORF1ab,N,455,341,112
S,ORF3a,128,62,4
S,E,128,112,16
S,M,128,172,13
S,ORF7a,128,107,13
S,ORF7b,128,28,5
S,ORF8,128,273,24
S,N,128,341,27
ORF3a,E,62,112,7
ORF3a,M,62,172,7
ORF3a,ORF7a,62,107,5
ORF3a,ORF7b,62,28,1
ORF3a,ORF8,62,273,14
ORF3a,N,62,341,16
E,M,112,172,15
E,ORF7a,112,107,13
E,ORF7b,112,28,4
E,ORF8,112,273,23
E,N,112,341,27
M,ORF7a,172,107,15
M,ORF7b,172,28,5
M,ORF8,172,273,38
M,N,172,341,41
ORF7a,ORF7b,107,28,1
ORF7a,ORF8,107,273,14
ORF7a,N,107,341,23
ORF7b,ORF8,28,273,8
ORF7b,N,28,341,11
ORF8,N,273,341,51
